IBI,Cump,NB,distancia
49.478,NC,3,menos de 30m
39.756,NC,3,menos de 30m
15.26,NC,3,menos de 30m
18.26,NC,2,menos de 30m
18.286,NC,3,menos de 30m
66.973,NC,3,menos de 30m
15.766,NC,2,menos de 30m
21.481,NC,2,menos de 30m
51.778,NC,2,menos de 30m
19.993,NC,2,menos de 30m
26.512,NC,2,menos de 30m
74.231,NC,2,menos de 30m
54.006,NC,2,menos de 30m
30.498,NC,2,menos de 30m
13.508,NC,2,menos de 30m
107.583,NC,2,menos de 30m
72.488,NC,2,menos de 30m
50.281,NC,2,menos de 30m
47.243,NC,2,menos de 30m
11.263,NC,1,menos de 30m
82.714,NC,1,menos de 30m
35.758,NC,1,menos de 30m
29.527,NC,1,menos de 30m
8.738,NC,1,menos de 30m
37.632,NC,1,menos de 30m
12.053,NC,1,menos de 30m
12.044,NC,1,menos de 30m
51.092,NC,1,menos de 30m
78.799,NC,1,menos de 30m
6.749,NC,1,menos de 30m
7.506,NC,1,menos de 30m
11.246,NC,1,menos de 30m
71.073,NC,1,menos de 30m
13.245,NC,1,menos de 30m
68.003,NC,1,menos de 30m
9.238,NC,1,menos de 30m
7.519,NC,1,menos de 30m
11.266,NC,1,menos de 30m
34.479,NC,1,menos de 30m
46.274,NC,1,menos de 30m
16.94,NC,1,menos de 30m
36.96,NC,3,menos de 30m
58.532,NC,3,menos de 30m
16.009,NC,3,menos de 30m
9.47,NC,3,menos de 30m
10.525,NC,2,menos de 30m
5.475,NC,2,menos de 30m
129.462,NC,2,menos de 30m
11.499,NC,2,menos de 30m
10.001,NC,1,menos de 30m
146.249,NC,2,menos de 30m
10.002,NC,2,menos de 30m
6.498,NC,2,menos de 30m
122.386,NC,1,menos de 30m
9.267,NC,2,menos de 30m
13.001,NC,2,menos de 30m
218.767,NC,1,menos de 30m
13.996,NC,1,menos de 30m
9.644,NC,1,menos de 30m
80.937,NC,1,menos de 30m
12.509,NC,1,menos de 30m
7.493,NC,1,menos de 30m
108.115,NC,1,menos de 30m
12.219,NC,1,menos de 30m
8.819,NC,1,menos de 30m
80.83,NC,1,menos de 30m
78.536,NC,1,menos de 30m
4.229,NC,1,menos de 30m
6.744,NC,1,menos de 30m
13.502,NC,1,menos de 30m
240.537,NC,1,menos de 30m
13.268,NC,1,menos de 30m
9.248,NC,1,menos de 30m
112.799,NC,2,menos de 30m
5.253,NC,1,menos de 30m
29.863,NC,2,menos de 30m
26.691,NC,2,menos de 30m
44.039,NC,2,menos de 30m
52.746,NC,2,menos de 30m
32.043,NC,2,menos de 30m
41.04,NC,2,menos de 30m
14.873,NC,3,menos de 30m
59.272,NC,3,menos de 30m
34.96,NC,3,menos de 30m
17.756,NC,3,menos de 30m
3.974,NC,3,menos de 30m
16.29,NC,2,menos de 30m
21.993,NC,2,menos de 30m
46.557,NC,2,menos de 30m
3.115,NC,2,menos de 30m
62.367,NC,2,menos de 30m
77.547,NC,2,menos de 30m
31.124,NC,2,menos de 30m
6.747,NC,2,menos de 30m
58.002,NC,2,menos de 30m
94.695,NC,3,menos de 30m
82.705,NC,3,menos de 30m
63.312,NC,3,menos de 30m
29.889,NC,1,menos de 30m
45.038,NC,1,menos de 30m
14.918,NC,1,menos de 30m
65.914,NC,1,menos de 30m
14.982,NC,1,menos de 30m
5,NC,3,menos de 30m
45.004,NC,3,menos de 30m
